Projected direction: 4.38, error: 4.38, derivative: 4.38, control var: 23.42, steering_command 9
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.89, steering_command 14
Projected direction: 4.37, error: 4.37, derivative: -0.00, control var: 21.87, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.89, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 21.88, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.88, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 21.88, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.89, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 21.88, steering_command 14
Projected direction: 4.37, error: 4.37, derivative: -0.00, control var: 21.87, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.89, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.90, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 21.88, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.89, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 4.38, control var: 23.42, steering_command 9
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.90, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 21.88, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.89, steering_command 14
Projected direction: 4.37, error: 4.37, derivative: -0.00, control var: 21.87, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.01, control var: 21.90, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.91, steering_command 14
Projected direction: 4.37, error: 4.37, derivative: -0.01, control var: 21.87, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.89, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 21.88, steering_command 14
Projected direction: 4.37, error: 4.37, derivative: -0.00, control var: 21.87, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.01, control var: 21.91, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 21.89, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.89, steering_command 14
Projected direction: 4.39, error: 4.39, derivative: 0.01, control var: 21.93, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: -0.01, control var: 21.88, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.01, control var: 21.91, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 21.88, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.90, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 21.88, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: -0.00, control var: 21.88, steering_command 14
Projected direction: 4.38, error: 4.38, derivative: 4.38, control var: 23.42, steering_command 9
Projected direction: 4.38, error: 4.38, derivative: 0.00, control var: 21.89, steering_command 14
