Straight Ride (Video 1)
Projected direction: 2.64, error: 2.64, derivative: -3.42, control var: -2.98, steering_command 101
Projected direction: 13.29, error: 13.29, derivative: 10.65, control var: 11.45, steering_command 51
Projected direction: 3.39, error: 3.39, derivative: -9.90, control var: -9.07, steering_command 122
Projected direction: 6.60, error: 6.60, derivative: 3.22, control var: 3.71, steering_command 78
Projected direction: 7.55, error: 7.55, derivative: 0.95, control var: 1.66, steering_command 85
Projected direction: 7.87, error: 7.87, derivative: 0.32, control var: 1.09, steering_command 87
Projected direction: 7.98, error: 7.98, derivative: 0.10, control var: 0.90, steering_command 87
Projected direction: 8.18, error: 8.18, derivative: 0.21, control var: 1.02, steering_command 87
Projected direction: 8.51, error: 8.51, derivative: 0.32, control var: 1.16, steering_command 86
Projected direction: 8.01, error: 8.01, derivative: -0.50, control var: 0.33, steering_command 89
Projected direction: 7.85, error: 7.85, derivative: -0.16, control var: 0.64, steering_command 88
Projected direction: 7.64, error: 7.64, derivative: -0.21, control var: 0.57, steering_command 89
Projected direction: 8.06, error: 8.06, derivative: 0.42, control var: 1.20, steering_command 86
Projected direction: 7.01, error: 7.01, derivative: -1.05, control var: -0.30, steering_command 92
Projected direction: 7.47, error: 7.47, derivative: 0.46, control var: 1.18, steering_command 86
Projected direction: 7.47, error: 7.47, derivative: -0.00, control var: 0.74, steering_command 88
Projected direction: 7.86, error: 7.86, derivative: 0.39, control var: 1.16, steering_command 86
Projected direction: 7.49, error: 7.49, derivative: -0.37, control var: 0.39, steering_command 89
Projected direction: 7.60, error: 7.60, derivative: 0.11, control var: 0.87, steering_command 87
Projected direction: 7.55, error: 7.55, derivative: -0.05, control var: 0.71, steering_command 88
Projected direction: 8.03, error: 8.03, derivative: 0.48, control var: 1.26, steering_command 86
Projected direction: 7.71, error: 7.71, derivative: -0.33, control var: 0.46, steering_command 89
Projected direction: 7.69, error: 7.69, derivative: -0.02, control var: 0.75, steering_command 88
Projected direction: 7.73, error: 7.73, derivative: 0.04, control var: 0.82, steering_command 88
Projected direction: 8.31, error: 8.31, derivative: 0.58, control var: 1.38, steering_command 86
Projected direction: 7.83, error: 7.83, derivative: -0.47, control var: 0.33, steering_command 89
Projected direction: 8.02, error: 8.02, derivative: 0.19, control var: 0.98, steering_command 87
Projected direction: 7.58, error: 7.58, derivative: -0.44, control var: 0.34, steering_command 89


From the right side (Video 2)

Projected direction: -23.28, error: -23.28, derivative: 36.12, control var: 31.98, steering_command 0
Projected direction: -8.75, error: -8.75, derivative: 14.53, control var: 12.92, steering_command 45
Projected direction: 18.17, error: 18.17, derivative: 26.92, control var: 27.39, steering_command 0
Projected direction: 31.10, error: 31.10, derivative: 12.93, control var: 15.39, steering_command 37
Projected direction: 21.33, error: 21.33, derivative: -9.77, control var: -7.14, steering_command 115
Projected direction: 24.66, error: 24.66, derivative: 3.33, control var: 5.63, steering_command 71
Projected direction: 52.43, error: 52.43, derivative: 27.78, control var: 31.63, steering_command 0
Projected direction: 55.34, error: 55.34, derivative: 2.90, control var: 8.29, steering_command 62
Projected direction: 54.92, error: 54.92, derivative: -0.42, control var: 5.09, steering_command 73
Projected direction: -47.68, error: -47.68, derivative: -102.60, control var: -102.24, steering_command 179
Projected direction: 3.93, error: 3.93, derivative: 51.61, control var: 49.42, steering_command 0
Projected direction: 27.83, error: 27.83, derivative: 23.91, control var: 25.50, steering_command 2
Projected direction: -0.02, error: -0.02, derivative: -27.86, control var: -26.46, steering_command 179
Projected direction: -13.34, error: -13.34, derivative: -13.32, control var: -13.99, steering_command 139
Projected direction: -15.70, error: -15.70, derivative: -2.36, control var: -3.81, steering_command 104
Projected direction: 2.97, error: 2.97, derivative: 18.66, control var: 18.03, steering_command 28
Projected direction: 6.00, error: 6.00, derivative: 3.04, control var: 3.49, steering_command 78
Projected direction: 6.04, error: 6.04, derivative: 0.04, control var: 0.64, steering_command 88
Projected direction: 6.12, error: 6.12, derivative: 0.08, control var: 0.69, steering_command 88
Projected direction: 6.16, error: 6.16, derivative: 0.04, control var: 0.66, steering_command 88
Projected direction: 6.12, error: 6.12, derivative: -0.05, control var: 0.57, steering_command 89
Projected direction: 6.03, error: 6.03, derivative: -0.09, control var: 0.52, steering_command 89
Projected direction: 6.20, error: 6.20, derivative: 0.17, control var: 0.78, steering_command 88
Projected direction: 6.17, error: 6.17, derivative: -0.02, control var: 0.60, steering_command 88


