current_x, current_y, calc_x, calc_y, distance
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.77, 2.65, 0.87, 0.11
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.77, 2.65, 0.87, 0.11
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.77, 2.65, 0.87, 0.11
2.68, 0.76, 2.63, 0.86, 0.11
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.77, 2.65, 0.87, 0.11
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.68, 0.76, 2.63, 0.86, 0.11
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.68, 0.76, 2.63, 0.86, 0.11
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.77, 2.65, 0.87, 0.11
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.77, 2.65, 0.87, 0.11
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
2.69, 0.76, 2.64, 0.87, 0.12
